ITEM_ID,GENRE
1,Adventure|Animation|Children|Comedy|Fantasy
2,Adventure|Children|Fantasy
3,Comedy|Romance
4,Comedy|Drama|Romance
5,Comedy
6,Action|Crime|Thriller
7,Comedy|Romance
8,Adventure|Children
9,Action
10,Action|Adventure|Thriller
11,Comedy|Drama|Romance
12,Comedy|Horror
13,Adventure|Animation|Children
14,Drama
15,Action|Adventure|Romance
16,Crime|Drama
17,Drama|Romance
18,Comedy
19,Comedy
20,Action|Comedy|Crime|Drama|Thriller
21,Comedy|Crime|Thriller
22,Crime|Drama|Horror|Mystery|Thriller
23,Action|Crime|Thriller
24,Drama|Sci-Fi
25,Drama|Romance
26,Drama
27,Children|Drama
28,Drama|Romance
29,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Crime|Drama
31,Drama
32,Mystery|Sci-Fi|Thriller
33,Adventure|Romance|IMAX
34,Children|Drama
35,Drama|Romance
36,Crime|Drama
37,Documentary|IMAX
38,Children|Comedy
39,Comedy|Romance
40,Drama
41,Drama|War
42,Action|Crime|Drama
43,Drama
44,Action|Adventure|Fantasy
45,Comedy|Drama|Thriller
46,Drama|Romance
47,Mystery|Thriller
48,Animation|Children|Drama|Musical|Romance
49,Drama|Romance
50,Crime|Mystery|Thriller
51,Action|Drama|Thriller
52,Comedy|Drama|Romance
53,Adventure|Drama
54,Children|Comedy
55,Drama
56,Adventure|Children|Fantasy
57,Drama
58,Comedy|Drama|Romance
59,Drama|Mystery
60,Adventure|Children|Fantasy
61,Drama|Thriller
62,Drama
63,Comedy|Crime
64,Comedy|Romance
65,Comedy
66,Action|Sci-Fi|Thriller
67,Drama
68,Comedy|Romance
69,Comedy
70,Action|Comedy|Horror|Thriller
71,Action
72,Comedy|Drama
73,Drama|War
74,Drama|Romance
75,Comedy|Drama
76,Action|Sci-Fi|Thriller
77,Documentary
78,Action|Crime|Drama|Thriller
79,Drama|Thriller
80,Children|Drama
81,Crime|Drama|Romance
82,Comedy|Drama
83,Drama|Romance
84,Comedy|Drama
85,Drama|Romance
86,Action|Adventure|Drama
87,Children|Comedy
88,Comedy
89,Action|Thriller
90,Drama
92,Drama|Horror|Thriller
93,Comedy|Horror|Romance
94,Comedy|Drama|Romance
95,Action|Adventure|Thriller
96,Comedy|Drama
97,Crime|Drama
98,Action|Thriller
99,Documentary
100,Drama|Thriller
101,Adventure|Comedy|Crime|Romance
102,Comedy
103,Mystery|Sci-Fi|Thriller
104,Comedy
105,Drama|Romance
106,Comedy|Drama
107,Adventure|Children|Comedy|Musical
108,Documentary
109,Comedy|Drama|Thriller
110,Action|Drama|War
111,Crime|Drama|Thriller
112,Action|Adventure|Comedy|Crime
113,Drama|Mystery
114,Drama
115,Comedy
116,Documentary
117,Crime|Drama
118,Comedy|Romance
119,Comedy
120,Adventure|Comedy|Drama
121,Drama
122,Comedy|Romance
123,Drama|Mystery|Romance
124,Drama
125,Comedy
126,Adventure|Children|Fantasy
127,Drama
128,Documentary
129,Comedy|Romance
130,Drama
131,Drama|Romance
132,Thriller
133,Comedy|Drama
134,Documentary
135,Comedy
136,Documentary
137,Documentary
138,Drama
139,Action|Drama
140,Drama|Romance
141,Comedy
142,Drama
143,Drama
144,Comedy
